stid,station_name,lat,lon,elev,begints,endts,iem_network
LFOK,Chalons,48.7805,4.1908,162,1958-08-31 00:00,,FR__ASOS
LFOP,Rouen,49.3831,1.1814,157,1972-12-31 00:00,,FR__ASOS
LFOR,CHARTRES/CHAMPOL,48.4606,1.5011,156,1936-06-17 00:00,2012-09-24 00:00,FR__ASOS
LFOT,Tours,47.4444,0.7272,108,1931-01-01 00:00,,FR__ASOS
LFOV,Laval,48.0314,-0.743,100.10286,1988-06-21 00:00,,FR__ASOS
LFOW,ST. QUENTIN/ROUPY,49.8183,3.2061,101,1936-01-03 00:00,2011-08-26 00:00,FR__ASOS
LFOZ,Orleans,47.897,2.163,115,2024-05-19 00:00,,FR__ASOS
LFPB,Paris,48.9672,2.4272,65,1928-01-04 00:00,,FR__ASOS
LFPC,Creil,49.2522,2.5208,88,1940-07-12 00:00,2016-09-01 00:00,FR__ASOS
LFPG,Paris,49.0153,2.5344,109,1974-04-18 00:00,,FR__ASOS
LFPM,Melun,48.6103,2.6794,92,1973-03-28 00:00,,FR__ASOS
LFPN,Toussous-le-noble,48.7506,2.1136,164,1973-01-01 00:00,,FR__ASOS
LFPO,Paris,48.7167,2.3833,96,1937-06-01 00:00,,FR__ASOS
LFPT,Pontoise,49.0966,2.0408,99,2008-10-22 00:00,,FR__ASOS
LFPV,Villacoublay,48.7744,2.2015,179,1942-01-01 00:00,,FR__ASOS
LFQA,Reims,49.2087,4.1566,90.89307,1936-10-10 00:00,,FR__ASOS
LFQB,Troyes,48.3247,4.02,118,1975-06-17 00:00,,FR__ASOS
LFQG,Nevers,46.9983,3.1128,181,1973-01-02 00:00,,FR__ASOS
LFQI,Cambrai,50.2186,3.1528,77,1972-12-31 00:00,2012-06-29 00:00,FR__ASOS
LFQQ,Lille,50.57,3.0975,52,1945-02-28 00:00,,FR__ASOS
LFRB,Brest,48.4442,-4.4119,103,1929-08-01 00:00,,FR__ASOS
LFRC,Cherbourg,49.6475,-1.4781,138,1936-01-01 00:00,,FR__ASOS
LFRD,Dinard,48.5889,-2.0748,59,1972-12-31 00:00,,FR__ASOS
LFRG,Deauville,49.3644,0.1669,146,1973-01-01 00:00,,FR__ASOS
LFRH,Lorient,47.7686,-3.4428,44,1972-12-31 00:00,,FR__ASOS
LFRI,La Roche-sur-yon,46.7,-1.3789,91,1983-04-05 00:00,,FR__ASOS
LFRJ,Landivisiau,48.5303,-4.1516,115,1973-01-01 00:00,,FR__ASOS
LFRK,Caen,49.18,-0.4561,67,1972-12-31 00:00,,FR__ASOS
LFRL,Lanvedoc,48.2817,-4.445,82,1981-02-02 00:00,,FR__ASOS
LFRM,Le Mans,47.9458,0.1939,52,1973-01-03 00:00,,FR__ASOS
LFRN,Rennes,48.0689,-1.7339,37,1931-01-05 00:00,,FR__ASOS
LFRO,Lannion,48.7553,-3.4686,89,2001-01-02 00:00,,FR__ASOS
LFRQ,Quimper,47.9728,-4.1725,94,1973-01-02 00:00,,FR__ASOS
LFRS,Nantes,47.15,-1.6089,27,1937-06-01 00:00,,FR__ASOS
LFRT,St.-brieuc Armor,48.5364,-2.8531,136,1985-12-31 00:00,,FR__ASOS
